feature,importance
neighborhood_Wheelers Hill,0.00016911413847436844
neighborhood_Croydon,0.00016711413606905755
neighborhood_Travancore,0.0001668200881693067
neighborhood_Wollert,0.00016263074270647117
neighborhood_Dandenong North,0.00016005973796560713
neighborhood_Williamstown North,0.00015704896974388024
neighborhood_Gardenvale,0.0001528438822429905
neighborhood_Altona North,0.00014775926697528288
neighborhood_Oakleigh East,0.0001470472509747781
neighborhood_Mordialloc,0.000145764998408102
neighborhood_Aspendale,0.00014567396350693317
neighborhood_Airport West,0.00014434762765132983
neighborhood_Kurunjang,0.0001415640777983043
neighborhood_Ringwood,0.000139546780663765
neighborhood_Carrum,0.0001393091632753313
neighborhood_Point Cook,0.00013838012744735314
neighborhood_Dandenong,0.00013770515395981667
neighborhood_St Albans,0.00013671286615209199
neighborhood_Jacana,0.00013616454650015788
neighborhood_Wantirna,0.00013317405842603976
neighborhood_South Kingsville,0.00013290759026361282
neighborhood_Forest Hill,0.00013274103472581258
neighborhood_Frankston South,0.00013209504095115446
neighborhood_Melbourne,0.00013099308930192136
neighborhood_Doreen,0.00012968574527227552
neighborhood_Eltham,0.00012487447312349597
neighborhood_Nunawading,0.00012047132662590013
neighborhood_Braybrook,0.00011719762665580483
neighborhood_Frankston,0.00011648272023657619
neighborhood_Watsonia,0.00011430264937068193
neighborhood_Gisborne,0.00011415190292328154
neighborhood_Vermont,0.00011254721158575925
neighborhood_Edithvale,0.0001115851890215437
neighborhood_Mitcham,0.00011038227698260397
neighborhood_Montmorency,0.00010888270248272233
neighborhood_Yallambie,0.0001068885286545038
neighborhood_Mernda,0.00010641391367424766
neighborhood_Bundoora,0.00010578958972601249
neighborhood_Greensborough,0.00010511163055299586
neighborhood_Warrandyte,9.575914406156053e-05
neighborhood_Vermont South,9.551664528372624e-05
neighborhood_Essendon North,9.130240475796292e-05
neighborhood_Taylors Hill,8.846359209710206e-05
neighborhood_Lalor,8.54586526632663e-05
neighborhood_Donvale,8.183057658004965e-05
neighborhood_Southbank,8.176905822616756e-05
neighborhood_Greenvale,7.95612786623274e-05
neighborhood_Gladstone Park,7.835272390375535e-05
neighborhood_Campbellfield,7.802453642513692e-05
neighborhood_Keilor Park,7.519074458914894e-05
neighborhood_Eltham North,7.250324897186696e-05
neighborhood_Heathmont,6.818049183524048e-05
neighborhood_Dingley Village,6.456433747288854e-05
neighborhood_Croydon North,6.424191056916419e-05
neighborhood_Carrum Downs,6.239316556514974e-05
neighborhood_Clayton South,6.229880690453843e-05
neighborhood_Boronia,6.1382783956174e-05
neighborhood_Cairnlea,5.734512243819308e-05
neighborhood_Deer Park,5.5507342008870134e-05
neighborhood_Williams Landing,5.403888816418746e-05
neighborhood_Truganina,5.38772695181047e-05
neighborhood_Narre Warren,5.2725668386465424e-05
neighborhood_Bacchus Marsh,5.256331792296854e-05
neighborhood_Westmeadows,5.1677802981513286e-05
neighborhood_Thomastown,5.137073896238963e-05
